"filename", "language", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\report\report.service.ts", "TypeScript", 0, 31, 0, 0, 1, 2, 34
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\shared.service.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\task\task.service.ts", "TypeScript", 0, 209, 0, 0, 4, 42, 255
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\timer\timer.service.ts", "TypeScript", 0, 151, 0, 0, 1, 24, 176
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\user\user.service.ts", "TypeScript", 0, 137, 0, 0, 3, 31, 171
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\tsconfig.json", "JSON with Comments", 15, 0, 0, 0, 80, 9, 104
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\types.d.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\types\error.ts", "TypeScript", 0, 10, 0, 0, 1, 3, 14
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\types\jira.ts", "TypeScript", 0, 30, 0, 0, 0, 4, 34
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\ReadableBuff.ts", "TypeScript", 0, 11, 0, 0, 0, 1, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\auth.ts", "TypeScript", 0, 17, 0, 0, 0, 5, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\email.ts", "TypeScript", 0, 17, 0, 0, 0, 5, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\jira.ts", "TypeScript", 0, 19, 0, 0, 0, 3, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\messages\error.ts", "TypeScript", 0, 3, 0, 0, 1, 2, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\projects.ts", "TypeScript", 0, 35, 0, 0, 0, 7, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\report.ts", "TypeScript", 0, 76, 0, 0, 5, 14, 95
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\timer\index.ts", "TypeScript", 0, 74, 0, 0, 4, 17, 95
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\user.ts", "TypeScript", 0, 3, 0, 0, 0, 1, 4
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\validations\user.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 11
"Total", "-", 15, 2170, 13561, 6, 130, 434, 16316
