"filename", "language", "JSON", "TypeScript", "XML", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\middlewares\authorize.ts.html", "HTML", 0, 0, 0, 0, 0, 164, 0, 14, 178
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\middlewares\index.html", "HTML", 0, 0, 0, 0, 0, 102, 0, 14, 116
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\others\templates\dailySummary.ts.html", "HTML", 0, 0, 0, 0, 0, 265, 0, 18, 283
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\others\templates\email.ts.html", "HTML", 0, 0, 0, 0, 0, 155, 0, 14, 169
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\others\templates\index.html", "HTML", 0, 0, 0, 0, 0, 144, 0, 17, 161
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\others\templates\index.ts.html", "HTML", 0, 0, 0, 0, 0, 74, 0, 14, 88
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\others\templates\report.ts.html", "HTML", 0, 0, 0, 0, 0, 309, 0, 16, 325
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\routes\client.ts.html", "HTML", 0, 0, 0, 0, 0, 335, 0, 14, 349
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\routes\index.html", "HTML", 0, 0, 0, 0, 0, 186, 0, 20, 206
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\routes\index.ts.html", "HTML", 0, 0, 0, 0, 0, 125, 0, 14, 139
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\routes\projects.ts.html", "HTML", 0, 0, 0, 0, 0, 332, 0, 14, 346
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\routes\reports.ts.html", "HTML", 0, 0, 0, 0, 0, 200, 0, 14, 214
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\routes\tasks.ts.html", "HTML", 0, 0, 0, 0, 0, 431, 0, 14, 445
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\routes\timers.ts.html", "HTML", 0, 0, 0, 0, 0, 374, 0, 14, 388
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\routes\users.ts.html", "HTML", 0, 0, 0, 0, 0, 563, 0, 14, 577
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\client\client.service.ts.html", "HTML", 0, 0, 0, 0, 0, 362, 0, 14, 376
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\client\index.html", "HTML", 0, 0, 0, 0, 0, 102, 0, 14, 116
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\integrations\jira\index.html", "HTML", 0, 0, 0, 0, 0, 102, 0, 14, 116
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\integrations\jira\jira.service.ts.html", "HTML", 0, 0, 0, 0, 0, 107, 0, 14, 121
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\internal\eventSource.ts.html", "HTML", 0, 0, 0, 0, 0, 86, 0, 14, 100
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\internal\index.html", "HTML", 0, 0, 0, 0, 0, 116, 0, 15, 131
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\internal\scheduler.ts.html", "HTML", 0, 0, 0, 0, 0, 374, 0, 14, 388
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\project\index.html", "HTML", 0, 0, 0, 0, 0, 102, 0, 14, 116
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\project\project.service.ts.html", "HTML", 0, 0, 0, 0, 0, 722, 0, 14, 736
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\report\index.html", "HTML", 0, 0, 0, 0, 0, 102, 0, 14, 116
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\report\report.service.ts.html", "HTML", 0, 0, 0, 0, 0, 251, 0, 14, 265
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\task\index.html", "HTML", 0, 0, 0, 0, 0, 102, 0, 14, 116
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\task\task.service.ts.html", "HTML", 0, 0, 0, 0, 0, 1013, 0, 14, 1027
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\timer\index.html", "HTML", 0, 0, 0, 0, 0, 102, 0, 14, 116
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\timer\timer.service.ts.html", "HTML", 0, 0, 0, 0, 0, 596, 0, 14, 610
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\user\index.html", "HTML", 0, 0, 0, 0, 0, 102, 0, 14, 116
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\services\user\user.service.ts.html", "HTML", 0, 0, 0, 0, 0, 674, 0, 14, 688
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\types\error.ts.html", "HTML", 0, 0, 0, 0, 0, 110, 0, 14, 124
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\types\index.html", "HTML", 0, 0, 0, 0, 0, 102, 0, 14, 116
